Цитата;Автор;Контекст (До);Контекст (После)
ни самый страх Божий, ни милостыня, ни вера, ни воздержание, ни другая какая-либо добродетель не может быть совершена без смиренномудрия.;Авва Дорофей;Ибо сказано: милостынями и верою очищаются греси (Прит. 15, 27), и Апостол говорит: без веры невозможно угодити Богу (Евр. 11, 6). Итак, если без веры невозможно угодить Богу, и милостынями и верою очищаются грехи, и если страхом же Господним уклоняется всяк от зла, и начало премудрости страх Господень, и подвизающейся от всего должен воздерживаться: то как же (старец) говорит, что прежде всего нужно нам смиренномудрие, и оставил все другое столь нужное?;"Вот почему говорит он: «Прежде всего нужно нам смиренномудрие, чтобы быть готовыми на каждое слово, которое слышим, сказать: ""Прости"", ибо смиренномудрием сокрушаются все стрелы врага и противника». Вот, видите, братья, как велика сила смиренномудрия, видите, какое имеет действие слово «прости»."
Вот, видите, братья, как велика сила смиренномудрия, видите, какое имеет действие слово «прости».;Авва Дорофей;"Старец хочет показать нам сим, что ни самый страх Божий, ни милостыня, ни вера, ни воздержание, ни другая какая-либо добродетель не может быть совершена без смиренномудрия. Вот почему говорит он: «Прежде всего нужно нам смиренномудрие, чтобы быть готовыми на каждое слово, которое слышим, сказать: ""Прости"", ибо смиренномудрием сокрушаются все стрелы врага и противника».";Почему же диавол называется не только врагом, но и противником. Врагом называется он потому, что он человеконенавистник, ненавистник добра и клеветник, противником же называется потому, что он старается препятствовать всякому доброму делу.
Врагом называется он потому, что он человеконенавистник, ненавистник добра и клеветник, противником же называется потому, что он старается препятствовать всякому доброму делу.;Авва Дорофей;Вот, видите, братья, как велика сила смиренномудрия, видите, какое имеет действие слово «прости». Почему же диавол называется не только врагом, но и противником.;Хочет ли кто помолиться: он противится и препятствует ему злыми воспоминаниями, пленением ума и унынием. Хочет ли кто подать милостыню: он препятствует сребролюбием и скупостью.
Смиренномудрием же сокрушаются все оружия врага и противника.;Авва Дорофей;Хочет ли кто бодрствовать: он препятствует леностью и нерадением, и так то он сопротивляется нам во всяком деле, когда хотим сделать доброе. Поэтому он и называется не только врагом, но и противником.;Ибо поистине велико смиренномудрие, и каждый из святых шествовал его путем, а трудом сокращал путь свой, как говорит Псалмопевец: виждь смирение мое и труд мой, и остави вся грехи моя (Псал. 24, 18), и: смирихся, и спасе мя Господь (Псал. 114, 6). Впрочем смирение и одно может ввести нас в Царствие, как сказал старец Авва Иоанн, но только медленно.
Ибо поистине велико смиренномудрие, и каждый из святых шествовал его путем, а трудом сокращал путь свой;Авва Дорофей;Поэтому он и называется не только врагом, но и противником. Смиренномудрием же сокрушаются все оружия врага и противника.;Впрочем смирение и одно может ввести нас в Царствие, как сказал старец Авва Иоанн, но только медленно.
Впрочем смирение и одно может ввести нас в Царствие, как сказал старец Авва Иоанн, но только медленно.;Авва Дорофей;Смиренномудрием же сокрушаются все оружия врага и противника. Ибо поистине велико смиренномудрие, и каждый из святых шествовал его путем, а трудом сокращал путь свой, как говорит Псалмопевец: виждь смирение мое и труд мой, и остави вся грехи моя (Псал. 24, 18), и: смирихся, и спасе мя Господь (Псал. 114, 6).;
Ибо что может быть более тяжким, как гневаться и прогневлять ближнего?;Авва Дорофей;Смирение велико, как мы сказали, и сильно привлечь в душу благодать Божию. Благодать же Божия, пришедши, покрывает душу от двух тяжких вышеупомянутых страстей.;Как некто и сказал: «Монахам вовсе несвойственно гневаться, равно и прогневлять других». Ибо поистине, если такой (то есть гневающийся или прогневляющий других) вскоре не покроется смирением, [В греч.: Благодатью Божией] то он мало-помалу приходит в состояние бесовское, смущая других и смущаясь (сам).
Смирение избегает их;Авва Дорофей;Но что я говорю, будто смирение покрывает только от двух страстей, — оно покрывает душу и от всякой страсти и от всякого искушения. Когда святый Антоний увидел распростертыми все сети диавола и, вздохнув, вопросил Бога: «Кто же избегнет их?;Видишь ли благодать сей добродетели? Поистине нет ничего крепче смиренномудрия, ничто не побеждает его.
Поистине нет ничего крепче смиренномудрия, ничто не побеждает его.;Авва Дорофей;» то отвечал ему Бог: «Смирение избегает их», а что еще более удивительно, присовокупил: «Они даже и не прикасаются ему». Видишь ли благодать сей добродетели?;Если со смиренным случится что-либо скорбное, он тотчас обращается к себе, тотчас осуждает себя, что он достоин (того), и не станет укорять никого, не будет на другого возлагать вину, и таким образом переносит (случившееся) без смущения, без скорби, с совершенным спокойствием, а потому и не гневается и никого не прогневляет. Итак, хорошо сказал святой, что прежде всего нужно нам смиренномудрие.
Наконец, возгордился он и против самого Бога и таким образом лишился ума.;Авва Дорофей;И что такое Павел? Никто ничего не значит, кроме Святой Троицы».;Посему-то должны мы, братья мои, подвизаться всеми силами нашими против первой гордости, дабы мало-помалу не впасть и во вторую, то есть в совершенную гордыню. Гордость же бывает мирская и монашеская: мирская гордость есть та, когда кто гордится пред братом своим, что он богаче или красивее его, или что носит лучшую нежели тот одежду, или что он благороднее его.
Посему-то должны мы, братья мои, подвизаться всеми силами нашими против первой гордости, дабы мало-помалу не впасть и во вторую, то есть в совершенную гордыню.;Авва Дорофей;Никто ничего не значит, кроме Святой Троицы». Наконец, возгордился он и против самого Бога и таким образом лишился ума.;Гордость же бывает мирская и монашеская: мирская гордость есть та, когда кто гордится пред братом своим, что он богаче или красивее его, или что носит лучшую нежели тот одежду, или что он благороднее его. Итак, когда мы видим, что тщеславимся сими (преимуществами), или тем, что монастырь наш больше, или богаче (других), или что в нем много братии: то мы должны знать, что находимся еще в мирской гордости.
Монашеская же гордость есть та, когда кто тщеславится, что он упражняется в бдении, в посте, что он благоговеен, хорошо живет и тщателен.;Авва Дорофей;Случается также, что тщеславятся какими-либо природными дарованиями: иной, например, тщеславится тем, что у него хорош голос и что он хорошо поет, или что он скромен, усердно работает и добросовестен в служении. Сии преимущества лучше первых, однако и это мирская гордость.;Случается также, что иной и смиряется для славы. Все сие относится к монашеской гордости.
Случается также, что иной и смиряется для славы.;Авва Дорофей;Сии преимущества лучше первых, однако и это мирская гордость. Монашеская же гордость есть та, когда кто тщеславится, что он упражняется в бдении, в посте, что он благоговеен, хорошо живет и тщателен.;Все сие относится к монашеской гордости. Можно нам вовсе не гордиться: если же кто сего совсем избежать не может, то хоть бы гордился преимуществом монашеских дел, а не чем-либо мирским.
почитать себя ниже всех;Авва Дорофей;Вот, мы сказали, что такое первая гордость, и что вторая, сказали также, что такое мирская гордость, и что монашеская. Рассмотрим теперь, в чем состоит и два смирения.;Второе же смирение состоит в том, чтобы приписывать Богу свои подвиги, — сие есть совершенное смирение святых. Оно естественно рождается в душе от исполнения заповедей.
как деревья, когда на них бывает много плодов, то самые плоды преклоняют ветви книзу и нагибают их, ветвь же, на которой нет плодов, стремится вверх и растет прямо;Авва Дорофей;Второе же смирение состоит в том, чтобы приписывать Богу свои подвиги, — сие есть совершенное смирение святых. Оно естественно рождается в душе от исполнения заповедей.;Помню, однажды мы имели разговор о смирении, и один из знатных (граждан) города Газы, слыша наши слова, что чем более кто приближается к Богу, тем более видит себя грешным, удивлялся и говорил: «Как это может быть? » И, не понимая, хотел узнать, что значат эти слова?
душа, когда смиряется, тогда приносит плод, и чем более приносит плода, тем более смиряется;Авва Дорофей;Второе же смирение состоит в том, чтобы приписывать Богу свои подвиги, — сие есть совершенное смирение святых. Оно естественно рождается в душе от исполнения заповедей.;Помню, однажды мы имели разговор о смирении, и один из знатных (граждан) города Газы, слыша наши слова, что чем более кто приближается к Богу, тем более видит себя грешным, удивлялся и говорил: «Как это может быть? » И, не понимая, хотел узнать, что значат эти слова?
святые, чем более приближаются к Богу, тем более видят себя грешными;Авва Дорофей;Второе же смирение состоит в том, чтобы приписывать Богу свои подвиги, — сие есть совершенное смирение святых. Оно естественно рождается в душе от исполнения заповедей.;Помню, однажды мы имели разговор о смирении, и один из знатных (граждан) города Газы, слыша наши слова, что чем более кто приближается к Богу, тем более видит себя грешным, удивлялся и говорил: «Как это может быть? » И, не понимая, хотел узнать, что значат эти слова?
Авраам, когда увидел Господа, назвал себя землею и пеплом;Авва Дорофей;» И он отвечал: «Почти за нищего». Тогда я сказал ему: «Вот так и святые, чем более приближаются к Богу, тем более видят себя грешными.;Какое смирение имело сердце его! Он находился во рву посреди львов, и был невредим от них, и притом не один раз, но дважды, и после всего этого он удивился и сказал: «Итак, вспомнил обо мне Бог!
Даже и посылаемые от Бога на помощь людям, они отказывались, по смирению избегая славы.;Авва Дорофей;» Видите ли смирение святых, и каковы их сердца?;Как облеченный в шелковую одежду, если набросить на него нечистое рубище, отбегает, чтобы не замарать своего драгоценного одеяния: так и святые, будучи облечены в добродетели, убегают человеческой славы, чтобы не оскверниться ею. А ищущие славы подобны нагому, который желает найти хотя малое рубище или иное что-либо, дабы покрыть свой стыд: так и не облеченный в добродетели ищет славы человеческой.
Как облеченный в шелковую одежду, если набросить на него нечистое рубище, отбегает, чтобы не замарать своего драгоценного одеяния: так и святые, будучи облечены в добродетели, убегают человеческой славы, чтобы не оскверниться ею.;Авва Дорофей;Видите ли смирение святых, и каковы их сердца? Даже и посылаемые от Бога на помощь людям, они отказывались, по смирению избегая славы.;А ищущие славы подобны нагому, который желает найти хотя малое рубище или иное что-либо, дабы покрыть свой стыд: так и не облеченный в добродетели ищет славы человеческой. И так Святые, будучи посылаемы Богом на помощь людям, по смирению отказывались от сего.
А ищущие славы подобны нагому, который желает найти хотя малое рубище или иное что-либо, дабы покрыть свой стыд: так и не облеченный в добродетели ищет славы человеческой.;Авва Дорофей;Даже и посылаемые от Бога на помощь людям, они отказывались, по смирению избегая славы. Как облеченный в шелковую одежду, если набросить на него нечистое рубище, отбегает, чтобы не замарать своего драгоценного одеяния: так и святые, будучи облечены в добродетели, убегают человеческой славы, чтобы не оскверниться ею.;И так Святые, будучи посылаемы Богом на помощь людям, по смирению отказывались от сего. Моисей говорил: молюся ти поставити иного могущаго, аз бо есмь гугнив и косноязычен (Исх. 4, 10).
Но что такое сие смирение, и как оно рождается в душе, никто не может выразить словами, если человек не научится сему из опыта, из одних же слов нельзя сему научиться.;Авва Дорофей;Иеремия же говорил: юнейший есмь аз (Иер. 1, 6). И одним словом, каждый из святых приобрел сие смирение, как мы сказали, чрез исполнение заповедей.;Некогда Авва Зосима говорил о смирении, а какой то софист, тут находившийся, слыша, что он говорил, и желая понять (это) в точности, спросил его: «Скажи мне, как ты считаешь себя грешным, разве ты не знаешь, что ты свят? Разве не знаешь, что имеешь добродетели?
душа приобрела навык, как я уже сказал, постепенно и нечувствительно, чрез упражнение в искусстве.;Авва Дорофей;Тогда старец не находя, как ему это объяснить, начал говорить ему со своею святою простотою: «Не смущай меня, я подлинно считаю себя таким». Видя, что старец недоумевает, как отвечать софисту, я сказал ему: «Не то же ли самое бывает и в софистическом и врачебном искусствах?;Так и в смирении: от исполнения заповедей бывает некоторая привычка к смирению, и нельзя выразить это словом». Когда Авва Зосима услышал это, он обрадовался, тотчас обнял меня и сказал: «Ты постиг дело, оно точно так бывает, как ты сказал».
Самое же состояние, в которое душа приходит от смирения, никто не мог объяснить.;Авва Дорофей;И софист, услышав эти слова, остался доволен и согласен с ними. И старцы сказали нам нечто, помогающее нам уразуметь смирение.;Так, когда Авва Агафон приближался к кончине, и братия сказали ему: «И ты ли боишься, Отче? » Он отвечал: «Сколько мог, я понуждал себя сохранять заповеди, но я человек, и почему могу знать, угодно ли дело мое Богу?
разве только от дел душа может научиться сему несколько.;Авва Дорофей;» Он отвечал: «Сколько мог, я понуждал себя сохранять заповеди, но я человек, и почему могу знать, угодно ли дело мое Богу? Ибо иной суд Божий, и иной человеческий».;А что приводит нас к смирению, о том сказали отцы. Ибо в Отечнике написано: один брат спросил старца: что есть смирение?
смиренный и благоговейный, зная, что невозможно совершить никакой добродетели без помощи и покрова Божия, не перестает всегда молиться Богу, чтобы Он сотворил с ним милость.;Авва Дорофей;Каким образом телесные труды делаются душевными добродетелями? То, чтобы считать себя ниже всех, как мы уже сказали, сопротивляется демонам и первой гордости: ибо как может считать себя большим брата своего, или гордиться перед кем-либо, или укорить, или уничижить кого-либо тот, кто почитает себя ниже всех?;Ибо непрестанно молящийся Богу, если и сподобится совершить что-либо, знает, почему он совершил сие, и не может возгордиться, и не приписывает это своей силе, но все свои успехи относит к Богу, всегда благодарит Его и всегда призывает Его, трепеща, как бы ему не лишиться таковой помощи, и не обнаружилась его немощь и бессилие. И так он со смирением молится, и молитвою смиряется: и чем более преуспевает всегда в добродетели, тем более всегда смиряется: а по мере того, как смиряется, получает помощь и преуспевает чрез смиренномудрие.
он со смирением молится, и молитвою смиряется: и чем более преуспевает всегда в добродетели, тем более всегда смиряется: а по мере того, как смиряется, получает помощь и преуспевает чрез смиренномудрие.;Авва Дорофей;Также и молиться непрестанно — явно противиться второй гордости: ибо очевидно, что смиренный и благоговейный, зная, что невозможно совершить никакой добродетели без помощи и покрова Божия, не перестает всегда молиться Богу, чтобы Он сотворил с ним милость. Ибо непрестанно молящийся Богу, если и сподобится совершить что-либо, знает, почему он совершил сие, и не может возгордиться, и не приписывает это своей силе, но все свои успехи относит к Богу, всегда благодарит Его и всегда призывает Его, трепеща, как бы ему не лишиться таковой помощи, и не обнаружилась его немощь и бессилие.;Но почему старец говорит, что телесные труды приводят к смирению? Какое отношение имеют телесные труды к расположению души?
Так как душа, по преступлении заповеди, предалась, как говорит святый Григорий, прелести сластолюбия и самозакония, и возлюбила телесное, и некоторым образом стала как бы нечто единое с телом и вся сделалась плотью;Авва Дорофей;Какое отношение имеют телесные труды к расположению души? Я объясню вам это.;Посему-то и сказал старец, что и телесный труд приводит душу в смирение. Ибо иное расположение души у человека здорового, и иное у больного, иное у алчущего, и иное у насытившегося.
бедная душа как бы состраждет телу и соучаствует во всем, что делается с телом.;Авва Дорофей;Какое отношение имеют телесные труды к расположению души? Я объясню вам это.;Посему-то и сказал старец, что и телесный труд приводит душу в смирение. Ибо иное расположение души у человека здорового, и иное у больного, иное у алчущего, и иное у насытившегося.
Ибо иное расположение души у человека здорового, и иное у больного, иное у алчущего, и иное у насытившегося.;Авва Дорофей;Так как душа, по преступлении заповеди, предалась, как говорит святый Григорий, прелести сластолюбия и самозакония, и возлюбила телесное, и некоторым образом стала как бы нечто единое с телом и вся сделалась плотью, как сказано: не имать пребывати дух мой в человецех сих, зане суть плоть (Быт. 6), и бедная душа как бы состраждет телу и соучаствует во всем, что делается с телом. Посему-то и сказал старец, что и телесный труд приводит душу в смирение.;Также опять иное расположение души у человека едущего на коне, иное у сидящего на престоле и иное у сидящего на земле, иное у носящего красивую одежду, и иное у носящего худую. Итак, труд смиряет тело, а когда тело смиряется, то вместе с ним смиряется и душа.
Итак, труд смиряет тело, а когда тело смиряется, то вместе с ним смиряется и душа.;Авва Дорофей;Ибо иное расположение души у человека здорового, и иное у больного, иное у алчущего, и иное у насытившегося. Также опять иное расположение души у человека едущего на коне, иное у сидящего на престоле и иное у сидящего на земле, иное у носящего красивую одежду, и иное у носящего худую.;Следовательно, хорошо сказал (старец), что телесный труд приводит к смирению. Посему, когда Евагрий подвергся брани от хульных помыслов, то он, как муж разумный, зная, что хула происходит от гордости, и что когда смиряется тело, то вместе с ним смиряется и душа, провел сорок дней на открытом воздухе, так что тело его, как говорит его жизнеописатель, стало производить червей, подобно тому, как случается у диких животных, и такой труд он подъял не ради хулы, но ради смирения.
Благий Бог да подаст нам смирение, ибо оно избавляет человека от многих зол и покрывает его от великих искушений.;Авва Дорофей;Следовательно, хорошо сказал (старец), что телесный труд приводит к смирению. Посему, когда Евагрий подвергся брани от хульных помыслов, то он, как муж разумный, зная, что хула происходит от гордости, и что когда смиряется тело, то вместе с ним смиряется и душа, провел сорок дней на открытом воздухе, так что тело его, как говорит его жизнеописатель, стало производить червей, подобно тому, как случается у диких животных, и такой труд он подъял не ради хулы, но ради смирения.;Богу слава и держава во веки. Аминь.
Когда Бог сотворил человека, то Он всеял в него нечто Божественное, как бы некоторый помысл, имеющий в себе, подобно искре, и свет, и теплоту, помысл, который просвещает ум и показывает ему, что доброе, и что злое: сие называется совестью, а она есть естественный закон.;Авва Дорофей;Поучение 3. О совести;Это те кладези, которые, как толкуют Святые отцы, искапывал Исаак, а Филистимляне засыпали (Быт. 26). Последуя сему закону, то есть совести, Патриархи и все Святые, прежде написанного закона, угодили Богу.
Ныне же в нашей власти, или опять засыпать ее, или дать ей светиться в нас и просвещать нас, если будем повиноваться ей.;Авва Дорофей;Последуя сему закону, то есть совести, Патриархи и все Святые, прежде написанного закона, угодили Богу. Но когда люди, чрез грехопадение, зарыли и попрали ее, тогда сделался нужен закон написанный, стали нужны святые Пророки, нужно сделалось самое пришествие Владыки нашего Иисуса Христа, чтобы открыть и воздвигнуть ее (совесть), чтобы засыпанную оную искру снова возжечь хранением святых Его заповедей.;Ибо, когда совесть наша говорит нам сделать что-либо, а мы пренебрегаем сим, и когда она снова говорит, а мы не делаем, но продолжаем попирать ее, тогда мы засыпаем ее, и она не может уже явственно говорить нам от тяготы, лежащей на ней, но, как светильник сияющий за завесою, начинает показывать нам вещи темнее. И как в воде, помутившейся от многого ила, никто не может узнать лица своего, так и мы, по преступлении, не разумеем, что говорит нам совесть наша, так что нам кажется, будто ее вовсе нет у нас.
Ибо, когда совесть наша говорит нам сделать что-либо, а мы пренебрегаем сим, и когда она снова говорит, а мы не делаем, но продолжаем попирать ее, тогда мы засыпаем ее, и она не может уже явственно говорить нам от тяготы, лежащей на ней, но, как светильник сияющий за завесою, начинает показывать нам вещи темнее.;Авва Дорофей;Но когда люди, чрез грехопадение, зарыли и попрали ее, тогда сделался нужен закон написанный, стали нужны святые Пророки, нужно сделалось самое пришествие Владыки нашего Иисуса Христа, чтобы открыть и воздвигнуть ее (совесть), чтобы засыпанную оную искру снова возжечь хранением святых Его заповедей. Ныне же в нашей власти, или опять засыпать ее, или дать ей светиться в нас и просвещать нас, если будем повиноваться ей.;И как в воде, помутившейся от многого ила, никто не может узнать лица своего, так и мы, по преступлении, не разумеем, что говорит нам совесть наша, так что нам кажется, будто ее вовсе нет у нас. Однако нет человека, не имеющего совести, ибо она есть, как мы уже сказали, нечто божественное и никогда не погибает, по всегда напоминает нам полезное, а мы не ощущаем сего, потому что, как уже сказано, пренебрегаем ею и попираем ее.
И как в воде, помутившейся от многого ила, никто не может узнать лица своего, так и мы, по преступлении, не разумеем, что говорит нам совесть наша, так что нам кажется, будто ее вовсе нет у нас.;Авва Дорофей;Ныне же в нашей власти, или опять засыпать ее, или дать ей светиться в нас и просвещать нас, если будем повиноваться ей. Ибо, когда совесть наша говорит нам сделать что-либо, а мы пренебрегаем сим, и когда она снова говорит, а мы не делаем, но продолжаем попирать ее, тогда мы засыпаем ее, и она не может уже явственно говорить нам от тяготы, лежащей на ней, но, как светильник сияющий за завесою, начинает показывать нам вещи темнее.;Однако нет человека, не имеющего совести, ибо она есть, как мы уже сказали, нечто божественное и никогда не погибает, по всегда напоминает нам полезное, а мы не ощущаем сего, потому что, как уже сказано, пренебрегаем ею и попираем ее. Посему-то Пророк оплакивает Ефрема и говорить: Соодоле Ефрем соперника своего, и попра суд (Осии 5, 11).
Однако нет человека, не имеющего совести, ибо она есть, как мы уже сказали, нечто божественное и никогда не погибает, по всегда напоминает нам полезное, а мы не ощущаем сего, потому что, как уже сказано, пренебрегаем ею и попираем ее.;Авва Дорофей;Ибо, когда совесть наша говорит нам сделать что-либо, а мы пренебрегаем сим, и когда она снова говорит, а мы не делаем, но продолжаем попирать ее, тогда мы засыпаем ее, и она не может уже явственно говорить нам от тяготы, лежащей на ней, но, как светильник сияющий за завесою, начинает показывать нам вещи темнее. И как в воде, помутившейся от многого ила, никто не может узнать лица своего, так и мы, по преступлении, не разумеем, что говорит нам совесть наша, так что нам кажется, будто ее вовсе нет у нас.;Посему-то Пророк оплакивает Ефрема и говорить: Соодоле Ефрем соперника своего, и попра суд (Осии 5, 11). Соперником же называет совесть.
Знайте, что от (пренебрежения) сего малого и в сущности ничтожного мы переходим и к пренебрежению великого.;Авва Дорофей;Путь, как говорит Василий Великий, есть мир сей. Итак, потщимся, братия, хранить совесть нашу, пока мы находимся в этом мире, не допустим, чтобы она обличала нас в каком-либо деле, не будем попирать ее отнюдь ни в чем, хотя бы то было и самое малое.;Ибо если кто начнет говорить: «Что за важность, если я скажу это слово? Что за важность, если я съем эту безделицу?
Будем же внимать себе и заботиться о легком, пока оно легко, чтобы оно не стало тяжким: ибо и добродетели, и грехи начинаются от малого и приходят к великому добру или злу.;Авва Дорофей;», от этого: «Что за важность в том, что за важность в другом» впадает он в худой навык [В слав.: злую и горькую пажить] и начинает пренебрегать великим и важным и попирать свою совесть, а таким образом, закосневая (во зле), находится в опасности придти и в совершенное нечувствие. Поэтому берегитесь, братия, пренебрегать малым, берегитесь презирать его, как малое и ничтожное, оно не малое, ибо чрез него образуется худой навык.;Поэтому заповедует нам Господь блюсти свою совесть, и как бы особенно увещевает (каждого из нас), говоря: «Посмотри, что ты делаешь, несчастный! Опомнись, помирись с соперником твоим, пока ты на пути с ним».
совершенна любы вон изгоняет страх;Авва Дорофей;Поучение 4. О страхе Божием;Что хочет сказать нам чрез сие святой (Апостол)? О какой любви говорит он нам, и о каком страхе?
есть два страха: один первоначальный, а другой совершенный;Авва Дорофей;Ибо пророк Давид говорит в Псалме: Бойтеся Господа вси святии Его (Псал. 33, 10), и много других подобных изречений находим мы в божественных Писаниях. Итак, если и святые, столько любящие Господа, боятся Его, то как же святый Иоанн говорит: совершенна любы вон изгоняет страх?;Например: кто исполняет волю Божию по страху мук, тот, как мы сказали, еще новоначальный, ибо он не делает добра для самого добра, но по страху наказания. Другой же исполняет волю Божию из любви к Богу, любя Его, собственно для того, чтобы благоугодить Ему, сей знает, в чем состоит существенное добро, он познал, что значит: быть с Богом.
